GOV.UK homepage,,,,,,
,,,,Cloud strategy,8,
,,,,Legacy,3,
,,,APIs and app development,3,,
,,,,APIs,6,
,,,,Application development,2,
,,,Digital security,5,,
,,,,End user devices,3,
,,,,Risk management,7,
,,,,Cloud security,10,
,,,,Email,9,
,,,,Passwords,5,
,,,,Phishing ,4,
,,,,Identity assurance,12,
,,,,Digital service security,8,
,,,Open source and open standards,3,,
,,,,Open standards,19,
,,,,Open source,4,
,,,GOV.UK services,5,,
,,,,Performance platform,,
,,,,GovWifi,5,
,,,,GOV.UK Pay,,
,,,,GOV.UK Registers,5,
,,,,GOV.UK Proposition,,
,,,,GOV.UK Platform as a Service (PaaS),,
,,,,GOV.UK Verify,3,
,,,,GOV.UK Notify,1,
,,,Networks and telecommunications,1,,
,,,,Telecommunications,14,
,,,,Networking,4,
,,,Data,20,,
,,,,Data usage,19,
,,,,Data provisioning,7,
,,,Design and build of government services,21,,
,,,,Digital Service Standard,155,
,,,,Design principles,2,
,,,,Government content and publishing,11,
,,Sustainable development,275,,,
,,Cyber security,404,,,
,,Europe,1798,,,
,,,European single market,347,,
,,,European Union laws and regulation,19,,
,,,European funds,1390,,
,,Democracy,54,,,
,,,Voting,27,,
,,,Constitutional affairs,204,,
,,,Legislative process,13,,
,,Government reform ,8,,,
,,,Postal service reform,63,,
,,,Civil service reform,558,,
,,Brexit,1742,,,
,,,Brexit guidance for UK citizens,32,,
,,,,Visit Europe after Brexit,1,
,Work,2549,,,,
,,Secondments with government,2,,,
,,Government graduate schemes,7,,,
,,Self-employment,75,,,
,,,Tax and National Insurance,11,,
,,,Paying HMRC,4,,
,,,Stopping or selling your business,2,,
,,,Managing expenses,3,,
,,,Self Assessment,7,,
,,Labour market reform,788,,,
,,Health and safety reform,71,,,
,,Work and disabled people,75,,,
,,"Working, jobs and pensions",62,,,
,,,Recruiting and hiring,103,,
,,,Finding a job,107,,
,,,"Your pay, tax and the National Minimum Wage",51,,
,,,Workplace bullying and harassment,2,,
,,,"Holidays, time off, sick leave, maternity and paternity leave",42,,
,,,Workplace and personal pensions,49,,
,,,Your rights at work and trade unions,29,,
,,,State Pension,40,,
,,,Contracts and working hours,37,,
,,,"Redundancies, dismissals and disciplinaries",26,,
,,Payroll,46,,,
,,Trade unions,195,,,
,,Health and safety at work,26,,,
,,Pensions and ageing society,1119,,,
,,,Older people,62,,
,,,Public service pensions,12,,
,,,Automatic enrolment in workplace pensions,280,,
,,,State Pension simplification,116,,
,,,State Pension age,45,,
,Money,2535,,,,
,,Expenses and employee benefits,52,,,
,,"Court claims, debt and bankruptcy",48,,,
,,Money laundering regulations,21,,,
,,,Registration for specific business types,6,,
,,,Your role under the regulations,7,,
,,,Problems and compliance checks,5,,
,,Business tax,555,,,
,,,Climate Change Levy,46,,
,,,Business tax reform,70,,
,,,VAT,312,,
,,,,Accounting for VAT,119,
,,,,Exporting goods and services,20,
,,,,Paying,18,
,,,,Exchange rates,1,
,,,,Overseas businesses and UK VAT,12,
,,,,VAT MOSS,6,
,,,,Charging VAT,66,
,,,,Rules for particular trades,45,
,,,,VAT returns,21,
,,,,Importing goods and services,34,
,,,,Reclaiming VAT on a new home,1,
,,,Fuel Duty,111,,
,,,,Moving and storing goods,,
,,,,Payments and reliefs (Fuel duty),2,
,,,Alcohol duties,104,,
,,,,Moving and storing goods,14,
,,,,Payments and reliefs (Alcohol duty),16,
,,,Pension scheme administration,258,,
,,,,Administering a pension scheme,19,
,,,,Tax on pensions,7,
,,,,Pension scheme trustees,9,
,,,,Paying into a pension scheme,5,
,,,,Overseas schemes,3,
,,,International tax,196,,
,,,,Oil and gas,1,
,,,,Shipping,1,
,,,,Double taxation,10,
,,,Stamp duty and other tax on property,77,,
,,,,Stamp Duty before December 2003,2,
,,,,Pay your SDLT bill,3,
,,,,SDLT on specific transactions,6,
,,,,Annual Tax on Enveloped Dwellings,10,
,,,,Filing a SDLT return,4,
,,,Investment schemes,52,,
,,,,Collective Investment Schemes,8,
,,,,Venture capital schemes,9,
,,,Landfill Tax,41,,
,,,,Payments and reliefs (landfill tax),1,
,,,Corporation Tax,259,,
,,,,Preparing accounts for Corporation Tax,5,
,,,,Changes to your company,3,
,,,,Working out your Corporation Tax,7,
,,,,Filing your return,4,
,,,,Reliefs,14,
,,,,Payments and refunds,5,
,,,Gambling duties,44,,
,,,,Bingo Duty,3,
,,,,Lottery Duty,2,
,,,,Gaming Duty,6,
,,,,Machine Games Duty,4,
,,,,"General Betting Duty, Pool Betting Duty and Remote Gaming Duty",6,
,,,,Paying HMRC,4,
,,,Employment related securities,34,,
,,,,National Insurance transfers,1,
,,,,Returns and notifications,7,
,,,,Asset valuation,1,
,,,,SAYE bonus rates,3,
,,,Construction Industry Scheme (CIS),37,,
,,,,Contractors,4,
,,,,Payments,2,
,,,,Subcontractors,4,
,,,Tobacco Products Duty,62,,
,,,,Moving and storing goods,5,
,,,,Payments and reliefs (tobacco products duty),3,
,,,Aggregates Levy,26,,
,,,,Payments and reliefs (aggregates levy),4,
,,,Air Passenger Duty,19,,
,,,Capital allowances,29,,
,,,Stamp duty on shares,19,,
,,,,Stamp tax on paper shares,5,
,,,,Stamp tax on electronic shares,6,
,,,IR35: working through an intermediary,5,,
,,,,Employment intermediaries,3,
,,,,Off-payroll working rules,7,
,,,,Employment status,1,
,,,Life insurance policies,6,,
,,,Insurance Premium Tax,12,,
,,,,Paying Insurance Premium Tax,6,
,,,PAYE,236,,
,,,,Registering and getting started,11,
,,,,Paying HMRC,10,
,,,,Annual PAYE and payroll tasks,5,
,,,,"Employees joining, leaving or changing their circumstances",17,
,,,,Expenses and benefits,18,
,,,,Changes to the business that affect PAYE,4,
,,,,Statutory pay and leave,6,
,,,,Special types of employee pay,7,
,,,Large and mid-size business,4,,
,,,,Mid-sized businesses,1,
,,,,Large businesses,7,
,,Dealing with HMRC,254,,,
,,,Paying HMRC,64,,
,,,,Inheritance Tax,4,
,,,,Pension schemes,5,
,,,,Tax credit overpayments,1,
,,,,Alcohol duties,7,
,,,,Child Benefit overpayments,1,
,,,,Property taxes,4,
,,,,Corporation Tax,5,
,,,,Money laundering regulation fees,1,
,,,,Shares,2,
,,,,VAT,13,
,,,,Transport and environmental duties,2,
,,,,Payment problems,2,
,,,,Construction Industry Scheme (through PAYE),3,
,,,,Insurance Premium Tax,8,
,,,,Capital Gains Tax,11,
,,,,Income Tax and National Insurance,15,
,,,,Gambling duties,7,
,,,,PAYE ,6,
,,,Tax agent and adviser guidance,1031,,
,,,,Working with HMRC - joint initiatives,3,
,,,,Appeals and penalties,4,
,,,,Agent authorisation,5,
,,,,Compliance checks,4,
,,,,Money laundering regulations,13,
,,,Complaints and appeals,17,,
,,,Phishing and scams,6,,
,,,Tax compliance,133,,
,,,,Disclosing offshore income,8,
,,,,Reporting tax evasion,5,
,,,,International agreements and FATCA,3,
,,,,Disputes,7,
,,,,Clearances and approvals,4,
,,,,Non-payment and fraud,5,
,,,,Compliance checks,8,
,,,Tax avoidance,166,,
,,,,Identifying avoidance schemes,7,
,,,,Disclosing avoidance schemes,8,
,,,,Disguised remuneration schemes,17,
,,,Shared Workspace service,12,,
,,,Software development for HMRC,183,,
,,,,HMRC recognition scheme,1,
,,,,New to HMRC development,2,
,,,,Working in partnership,2,
,,,,Software development support,25,
,,Personal tax,442,,,
,,,Living or working abroad or offshore,186,,
,,,,Living and working abroad,9,
,,,,Rules for specific occupations,5,
,,,Tax on savings and investments,98,,
,,,,Tax on shares,4,
,,,,Tax efficient savings and investments,8,
,,,,Tax on savings,10,
,,,,Guidance for financial institutions,7,
,,,Leaving the UK,7,,
,,,Non-resident landlord scheme,20,,
,,,Trusts,38,,
,,,Inheritance Tax,123,,
,,,,Wills and probate,3,
,,,,Reliefs,4,
,,,,Working out the tax,6,
,,,,Paying HMRC,3,
,,,Self Assessment,211,,
,,,,Paying your tax bill,7,
,,,,"Refunds, appeals and penalties",3,
,,,,Records you must keep,1,
,,,,Filing a tax return,8,
,,,,Registering for Self Assessment,1,
,,,Income Tax,222,,
,,,,Welsh rate of Income Tax,2,
,,,,"Rates, allowances and reliefs",9,
,,,,Pensions,12,
,,,,Scottish rate of Income Tax,2,
,,,,Student jobs and loans,2,
,,,,Company benefits and share schemes,5,
,,,,Overpayments and underpayments,3,
,,,,Special types of pay,4,
,,,Capital Gains Tax,55,,
,,,,Business,17,
,,,,Property,8,
,,,,Shares and investments,10,
,,,,Personal possessions,1,
,,,,Divorce and separation,1,
,,,,Paying HMRC,4,
,,,Coming to the UK,10,,
,,,National Insurance,76,,
,,,,Refunds,3,
,,,,National Insurance numbers,5,
,,,,Voluntary contributions,2,
,,,,Rates and classes,3,
,,,Foreign entertainer tax rules,11,,
,,,Personal tax reform,193,,
,,Tax evasion and avoidance,480,,,
,Business and industry,9810,,,,
,,Running a business,90,,,
,,,Business finance and support,189,,
,,,Business premises and business rates,28,,
,,,Limited companies and partnerships,44,,
,,,,Directorship disqualification,30,
,,,,Overseas companies and European companies,6,
,,,,Partnerships,10,
,,,,"Company closure, administration, liquidation and insolvency ",179,
,,,,Company names,126,
,,,Employing people,248,,
,,,,Payroll,55,
,,,,Recruiting and hiring,44,
,,,,Dismissing staff and redundancies,10,
,,,Business licensing ,48,,
,,,Business debt and bankruptcy,34,,
,,,"Business auditing, accounting and reporting",29,,
,,Corporate governance,305,,,
,,Business regulation,615,,,
,,,State aid,6,,
,,,Competition,705,,
,,,,Competition Act and cartels,1998,
,,,,Mergers,2161,
,,,,Markets,1996,
,,,,Regulatory appeals and references,1869,
,,,,Consumer protection,1949,
,,,,Competition law,578,
,,,Intellectual property,565,,
,,,,Patents,155,
,,,,Trade marks,110,
,,,,Designs,68,
,,,,Copyright,65,
,,,Alcohol licensing ,132,,
,,,Product safety,46,,
,,,Energy industry and infrastructure licensing and regulation,647,,
,,,Sale of goods and services and data protection,31,,
,,,Regulation reform,1010,,
,,,,Company law reform,63,
,,,Consumer rights and issues,869,,
,,,,Consumer protection,317,
,,,,Gambling regulation,145,
,,,,Consumer credit market,41,
,,Charities and social enterprises,492,,,
,,,Community interest companies,17,,
,,,"Charity money, tax and accounts",112,,
,,,Fundraising,27,,
,,,Trustee role and board,36,,
,,Science and innovation,4167,,,
,,,Animal research and testing,204,,
,,,Research and development,1133,,
,,,Scientific research and development,256,,
,,Trade and investment,9164,,,
,,,Overseas businesses: exporting to the UK,,,
,,,"Customs declarations, duties and tariffs (import and export)",896,,
,,,,Rules for specific goods and services,80,
,,,,Exchange rates,17,
,,,,Get goods through customs,59,
,,,,UK Trade Tariff and classification of goods,170,
,,,,Customs Freight Simplified Procedures,10,
,,,,Commodity codes and reporting,110,
,,,Digital trade,19,,
,,,Exporting,494,,
,,,,Embargoes and sanctions,90,
,,,,Export controls and licensing,341,
,,,,Export finance,202,
,,,,Trade restrictions on exports,5,
,,,,Licences and special rules,3,
,,,Trade barriers,10,,
,,,Importing,127,,
,,,,Commodity codes and reporting,79,
,,,,Wood packaging,5,
,,,,Import controls,38,
,,,Inward investment,63,,
,,,Outward investment,22,,
,,,Free trade,330,,
,,Manufacturing,89,,,
,,UK economy,9180,,,
,,,UK economic growth,918,,
,,,,Economic development in coastal and seaside areas,53,
,,,,Management of the European Regional Development Fund,42,
,,,,Local Enterprise Partnerships (LEPs) and Enterprise Zones,243,
,,,City deals and growth deals,143,,
,,,Regional growth fund,70,,
,,,High streets and town centres,165,,
,,Industrial strategy,791,,,
,,Business and the environment,998,,,
,,,UK energy security,913,,
,,,Energy demand reduction,302,,
,,Media and communications,679,,,
,,,Communications and telecomms,415,,
,,,Broadband investment,313,,
,,,Media and creative industries,551,,
,,Financial services,1121,,,
,,,Access to financial services,82,,
,,,Financial services regulation,72,,
,,,Bank regulation,99,,
,Health and social care,471,,,,
,,Social care,2440,,,
,,,End of life care,77,,
,,,Carers' health,55,,
,,,Health and social care integration,131,,
,,Disabled people,25,,,
,,,Disability equipment and transport,25,,
,,,Carers,12,,
,,,Disability rights,39,,
,,,Benefits and financial help,46,,
,,National Health Service,7575,,,
,,,Health workforce,65,,
,,,,Careers in health and social care,5,
,,,,Health and social care training,3,
,,,Patient safety,459,,
,,,NHS efficiency,324,,
,,,Compassionate care in the NHS,167,,
,,Public health,4324,,,
,,,Human fertilisation and embryology,2,,
,,,Sexual health,117,,
,,,Health protection,253,,
,,,,Migrant health,192,
,,,,Emergency response,52,
,,,,Infectious diseases,872,
,,,,Immunisation,530,
,,,,Antimicrobial resistance (AMR),54,
,,,,Radiation protection,218,
,,,,Laboratories and reference facilities,153,
,,,,"Research, testing and standards",334,
,,,,Health surveillance and reporting programmes,521,
,,,,Chemical and environmental hazards,181,
,,,,Health emergency planning,197,
,,,Population screening programmes,64,,
,,,,NHS infectious diseases in pregnancy screening (IDPS) programme,39,
,,,,NHS newborn hearing screening programme (NHSP),58,
,,,,NHS bowel cancer screening (BCSP) programme,75,
,,,,NHS breast screening (BSP) programme ,142,
,,,,NHS fetal anomaly screening programme (FASP),68,
,,,,NHS newborn blood spot (NBS) screening programme,84,
,,,,NHS sickle cell and thalassaemia (SCT) screening programme,72,
,,,,NHS newborn and infant physical examination (NIPE) screening programme,59,
,,,,NHS diabetic eye screening (DES) programme,92,
,,,,NHS cervical screening (CSP) programme ,116,
,,,,NHS abdominal aortic aneurysm (AAA) programme,76,
,,,,Quality assurance in population screening,51,
,,,Abortion,16,,
,,,Ophthalmology,12,,
,,,Dentistry ,22,,
,,,Health conditions,127,,
,,,,Diabetes,22,
,,,,Heart disease,158,
,,,,Learning disabilities,18,
,,,,Cancer research and treatment,183,
,,,,Obesity,87,
,,,,Dementia,141,
,,,,Autism,13,
,,,Mental health,83,,
,,,,Mental health service reform,161,
,,,Health improvement,139,,
,,,,Exercise and physical activity,30,
,,,,Oral health,48,
,,,,Healthy eating,219,
,,,,Smoking,170,
,,,,Drug misuse and dependency,301,
,,,,Harmful drinking,148,
,,Technology in health and social care,62,,,
,,Research and innovation in health and social care,237,,,
,,Blood regulation and safety,13,,,
,,"Medicines, medical devices",180,,,
,,,Pharmacy,16,,
,,,"Marketing authorisations, variations and licensing guidance",73,,
,,,"Good practice, inspections and enforcement",39,,
,,,"Manufacturing, wholesaling, importing and exporting medicines",42,,
,,,Herbal and homeopathic medicines,9,,
,,,"Vigilance, safety alerts and guidance",37,,
,,,,Alerts and recalls,1224,
,,,Medical devices regulation and safety,52,,
,,,Conferences and events,3,,
,,,Clinical trials and investigations,18,,
